lambdas,lower_eigs
0.20500000000000002,0.5910675375370771
0.20600000000000002,0.5938342831245862
0.20700000000000002,0.5965999092044048
0.20800000000000002,0.5993644159998612
0.209,0.6021278037352901
0.21,0.6048900726360319
0.211,0.607651222928432
0.212,0.6104112548398388
0.213,0.6131701685986035
0.214,0.6159279644340787
0.215,0.6186846425766173
0.216,0.6214402032575713
0.217,0.6241946467092915
0.218,0.6269479731651251
0.219,0.6297001828594156
0.22,0.632451276027502
0.221,0.635201252905716
0.222,0.6379501137313832
0.223,0.6406978587428203
0.224,0.6434444881793343
0.225,0.6461900022812223
0.226,0.6489344012897693
0.227,0.6516776854472472
0.228,0.6544198549969148
0.229,0.6571609101830151
0.23,0.6599008512507755
0.231,0.6626396784464055
0.232,0.6653773920170964
0.233,0.6681139922110202
